number_of_BBP,acoustic,fishing_net,behavior,beacon,date,number,net,audio_names,Buzz,Burst-pulse
1,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_074100,1,0
0,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_074200,0,0
0,AV,SSF,SOCI,NC,13/07/2020,6,SSF,SCW1807_20200713_075400,0,0
0,AV+D,SSF,DEPL,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075500,0,0
3,D,SSF,DEPL,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075600,0,3
1,D,SSF,DEPL,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075700,1,0
9,D,SSF,SOCI,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075800,2,7
0,D,SSF,SOCI,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075900,0,0
2,T,SSF,DEPL,DOL5,13/07/2020,6,SSF,SCW1807_20200713_081700,0,2
0,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_081800,0,0
1,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_081900,0,1
0,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_082000,0,0
0,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_082100,0,0
1,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085200,0,1
0,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085300,0,0
0,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085400,0,0
1,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085500,0,1
0,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085600,0,0
0,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085700,0,0
0,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091400,0,0
1,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091500,1,0
0,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091600,0,0
0,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091700,0,0
0,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091800,0,0
0,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091900,0,0
0,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_092200,0,0
0,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_092300,0,0
2,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_092400,2,0
1,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_092500,1,0
0,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_092600,0,0
0,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_092700,0,0
0,T,SSF,SOCI,DOL5,13/07/2020,4,SSF,SCW1807_20200713_094500,0,0
0,T,SSF,SOCI,DOL5,13/07/2020,4,SSF,SCW1807_20200713_094600,0,0
0,T,SSF,SOCI,DOL5,13/07/2020,4,SSF,SCW1807_20200713_094700,0,0
